"","x"
"GTEX-1GZ2Q-0011-R6a-SM-9OSWM",1
"GTEX-RU72-0011-R5A-SM-2TF6U",1
"GTEX-WHSE-0011-R3A-SM-3P5ZM",1
"GTEX-14PQA-0011-R1b-SM-6EU1G",1
"GTEX-13CF2-0011-R1a-SM-5LZY1",1
"GTEX-1B8L1-0011-R10b-SM-7P8Q4",1
"GTEX-1445S-3026-SM-5O9BR",1
"GTEX-1B8SF-0011-R8b-SM-7P8SX",1
"GTEX-15ER7-0011-R7a-SM-6M46N",1
"GTEX-14ASI-0011-R5b-SM-6EU2M",1
"GTEX-OHPN-0011-R1A-SM-2I5GB",1
"GTEX-11DYG-0011-R5a-SM-DO928",1
"GTEX-1B933-0011-R10b-SM-9OSVN",1
"GTEX-1IKK5-0011-R5b-SM-CL55B",1
"GTEX-1IY9M-0011-R7a-SM-D4P49",1
"GTEX-ZE9C-3026-SM-4WKHB",1
"GTEX-1MJK2-3026-SM-EV7A5",1
"GTEX-144GL-0011-R11b-SM-5P9F6",1
"GTEX-13FXS-0011-R9a-SM-5K7UI",1
"GTEX-11ZVC-0011-R1b-SM-5BC6M",1
"GTEX-P44G-0011-R7A-SM-2I3F9",1
"GTEX-14C39-0011-R3b-SM-5YYA3",1
"GTEX-1GF9V-0011-R10b-SM-CKZNP",1
"GTEX-NPJ7-0011-R9a-SM-2TC5R",1
"GTEX-1313W-0011-R7b-SM-5DUWL",1
"GTEX-13QJC-0011-R8b-SM-5S2U6",1
"GTEX-Z93S-0011-R7b-SM-4RGNK",1
"GTEX-1HSMO-0011-R2a-SM-CL553",1
"GTEX-1B996-0011-R10b-SM-CJI3T",1
"GTEX-1B933-0011-R2b-SM-7IGNM",1
"GTEX-1GZHY-3026-SM-7MXVA",1
"GTEX-131YS-3126-SM-5KLYT",1
"GTEX-WL46-2826-SM-3LK81",1
"GTEX-13G51-0011-R1a-SM-5LZYR",1
"GTEX-1HR9M-0011-R5a-SM-ARU72",1
"GTEX-11GSP-0011-R5a-SM-57WBE",1
"GTEX-16YQH-0011-R10b-SM-7LT8U",1
"GTEX-13IVO-0011-R10a-SM-5LZY3",1
