"","x"
"GTEX-1GZ2Q-0011-R6a-SM-9OSWM",1
"GTEX-RU72-0011-R5A-SM-2TF6U",2
"GTEX-WHSE-0011-R3A-SM-3P5ZM",1
"GTEX-14PQA-0011-R1b-SM-6EU1G",3
"GTEX-13CF2-0011-R1a-SM-5LZY1",4
"GTEX-1B8L1-0011-R10b-SM-7P8Q4",2
"GTEX-1445S-3026-SM-5O9BR",3
"GTEX-1B8SF-0011-R8b-SM-7P8SX",3
"GTEX-15ER7-0011-R7a-SM-6M46N",1
"GTEX-14ASI-0011-R5b-SM-6EU2M",3
"GTEX-OHPN-0011-R1A-SM-2I5GB",5
"GTEX-11DYG-0011-R5a-SM-DO928",1
"GTEX-1B933-0011-R10b-SM-9OSVN",2
"GTEX-1IKK5-0011-R5b-SM-CL55B",2
"GTEX-1IY9M-0011-R7a-SM-D4P49",2
"GTEX-ZE9C-3026-SM-4WKHB",2
"GTEX-1MJK2-3026-SM-EV7A5",6
"GTEX-144GL-0011-R11b-SM-5P9F6",6
"GTEX-13FXS-0011-R9a-SM-5K7UI",7
"GTEX-11ZVC-0011-R1b-SM-5BC6M",4
"GTEX-P44G-0011-R7A-SM-2I3F9",3
"GTEX-14C39-0011-R3b-SM-5YYA3",1
"GTEX-1GF9V-0011-R10b-SM-CKZNP",2
"GTEX-NPJ7-0011-R9a-SM-2TC5R",8
"GTEX-1313W-0011-R7b-SM-5DUWL",1
"GTEX-13QJC-0011-R8b-SM-5S2U6",5
"GTEX-Z93S-0011-R7b-SM-4RGNK",3
"GTEX-1HSMO-0011-R2a-SM-CL553",9
"GTEX-1B996-0011-R10b-SM-CJI3T",1
"GTEX-1B933-0011-R2b-SM-7IGNM",10
"GTEX-1GZHY-3026-SM-7MXVA",11
"GTEX-131YS-3126-SM-5KLYT",2
"GTEX-WL46-2826-SM-3LK81",6
"GTEX-13G51-0011-R1a-SM-5LZYR",12
"GTEX-1HR9M-0011-R5a-SM-ARU72",4
"GTEX-11GSP-0011-R5a-SM-57WBE",12
"GTEX-16YQH-0011-R10b-SM-7LT8U",2
"GTEX-13IVO-0011-R10a-SM-5LZY3",5
"GTEX-13VXU-3026-SM-5LU3K",6
"GTEX-1HGF4-0011-R5b-SM-CM2ST",2
"GTEX-1EN7A-0011-R6b-SM-9QEHW",4
"GTEX-1B8SF-0011-R6b-SM-7MXUD",2
"GTEX-13JUV-0011-R1a-SM-5LZY4",12
"GTEX-16YQH-0011-R5b-SM-7938U",12
"GTEX-12WSC-0011-R9a-SM-5GU4U",9
"GTEX-ZDXO-0011-R2b-SM-4WKFG",4
"GTEX-12WSM-0011-R11a-SM-5DUX8",6
"GTEX-13FLV-0011-R10b-SM-5LZZ2",2
"GTEX-1PIIG-2826-SM-DTX7O",6
"GTEX-14JIY-0011-R8a-SM-6AJAP",2
"GTEX-ZAB4-0011-R9a-SM-4SOKG",7
"GTEX-1GZHY-0011-R11a-SM-C1YRQ",13
"GTEX-18464-0011-R10a-SM-72D6X",14
"GTEX-145LS-0011-R5a-SM-5SI65",12
"GTEX-13N1W-0011-R4a-SM-5MR52",1
"GTEX-X4XY-3026-SM-EWRM9",1
"GTEX-11GSP-0011-R1a-SM-9QEJ3",1
"GTEX-11DZ1-0011-R8b-SM-DNZZI",1
"GTEX-11EMC-0011-R8b-SM-DO91Z",4
"GTEX-13OW5-0011-R6b-SM-5O9BW",3
"GTEX-17EVQ-2826-SM-7IGQK",1
"GTEX-1EN7A-0011-R5a-SM-9QEH6",4
"GTEX-13N2G-0011-R2a-SM-5MR4Q",10
"GTEX-1JJ6O-0011-R11b-SM-EXUS2",15
"GTEX-15CHQ-0011-R1a-SM-COH27",2
"GTEX-1H3NZ-0011-R6b-SM-A9G1N",2
"GTEX-1F52S-0011-R7b-SM-9QEH8",4
"GTEX-1H4P4-0011-R1b-SM-CL54V",4
"GTEX-14ABY-0011-R9a-SM-5PNZK",16
"GTEX-Q2AG-0011-R11A-SM-2HMKZ",17
"GTEX-14BIN-0011-R11a-SM-5SI79",11
"GTEX-WZTO-0011-R4A-SM-3NMC7",18
"GTEX-17MF6-0011-R5a-SM-731BA",4
"GTEX-147GR-0011-R2b-SM-5S2RQ",3
"GTEX-13CF2-0011-R11b-SM-5LZXO",6
"GTEX-14ABY-0011-R5b-SM-5SI7B",2
"GTEX-16XZZ-0011-R9b-SM-7DHKX",16
"GTEX-1E1VI-0011-R4b-SM-9QEHV",5
"GTEX-13OVJ-2826-SM-5L3GW",2
"GTEX-WHSE-0011-R10A-SM-EYYVG",1
"GTEX-15SHU-3026-SM-6LPIB",19
"GTEX-1C6VR-0011-R6a-SM-7MXU8",2
"GTEX-WWYW-0011-R5A-SM-3NB3E",12
"GTEX-1IY9M-0011-R9b-SM-D3L8J",16
"GTEX-1F75B-0011-R5a-SM-9QEHC",20
"GTEX-1GN2E-3026-SM-9WG6I",1
"GTEX-13FHO-2926-SM-5L3ES",11
"GTEX-ZVZQ-0011-R11a-SM-51MS6",11
"GTEX-NL4W-0011-R5a-SM-2I3GD",1
"GTEX-T2IS-0011-R3A-SM-32QPB",2
"GTEX-1A3MX-0011-R8a-SM-7P8PI",1
"GTEX-Y8DK-0011-R8B-SM-EYYVQ",5
"GTEX-ZZPT-3026-SM-5GZXH",1
"GTEX-12ZZX-0011-R10b-SM-5DUWK",14
"GTEX-1ICLZ-0011-R8b-SM-ACKX4",3
"GTEX-13FLV-0011-R6a-SM-5KLZ4",2
"GTEX-14ASI-0011-R1b-SM-5S2TY",1
"GTEX-QMR6-0011-R2A-SM-32PKV",10
"GTEX-13G51-0011-R7b-SM-5LZXG",2
"GTEX-1C6WA-0011-R5a-SM-9WG5X",1
"GTEX-XAJ8-0826-SM-47JY6",21
"GTEX-15RIG-0226-SM-7KFTL",21
"GTEX-12KS4-0326-SM-5EQ41",22
"GTEX-13CF3-2426-SM-5IFGX",21
"GTEX-15G1A-0008-SM-E76Q5",23
"GTEX-12WSJ-1826-SM-5GCNY",21
"GTEX-R53T-0008-SM-48FEW",24
"GTEX-QXCU-0008-SM-48FCH",23
"GTEX-ZVZP-0008-SM-51MSX",23
"GTEX-V1D1-2226-SM-3NMAX",25
"GTEX-1LKK1-2626-SM-DKPQE",26
"GTEX-16MT8-0426-SM-7KUEY",27
"GTEX-P4PP-0008-SM-48TDV",23
"GTEX-1LB8K-0726-SM-D5OV2",22
"GTEX-15SKB-2826-SM-6PAMH",21
"GTEX-17EUY-0426-SM-793BD",22
"GTEX-YEC4-0008-SM-4W1YR",28
"GTEX-1H1DG-0126-SM-9WYU2",21
"GTEX-14A6H-2026-SM-5Q5DD",22
"GTEX-1IE54-0126-SM-CMKHW",22
"GTEX-14XAO-1226-SM-6EU1C",27
"GTEX-X5EB-0008-SM-46MU3",28
