i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50,Topic 51,Topic 52,Topic 53,Topic 54,Topic 55,Topic 56,Topic 57,Topic 58,Topic 59,Topic 60,Topic 61,Topic 62,Topic 63,Topic 64,Topic 65,Topic 66,Topic 67,Topic 68,Topic 69,Topic 70,Topic 71,Topic 72,Topic 73,Topic 74,Topic 75,Topic 76,Topic 77,Topic 78,Topic 79,Topic 80,Topic 81,Topic 82,Topic 83,Topic 84,Topic 85,Topic 86,Topic 87,Topic 88,Topic 89,Topic 90,Topic 91,Topic 92,Topic 93,Topic 94,Topic 95,Topic 96,Topic 97,Topic 98,Topic 99,Topic 100,Topic 101,Topic 102,Topic 103,Topic 104,Topic 105,Topic 106,Topic 107,Topic 108,Topic 109,Topic 110,Topic 111,Topic 112,Topic 113,Topic 114,Topic 115,Topic 116,Topic 117,Topic 118,Topic 119,Topic 120,Topic 121,Topic 122,Topic 123,Topic 124,Topic 125,Topic 126,Topic 127,Topic 128,Topic 129,Topic 130,Topic 131,Topic 132,Topic 133,Topic 134,Topic 135,Topic 136,Topic 137,Topic 138,Topic 139,Topic 140,Topic 141,Topic 142,Topic 143,Topic 144,Topic 145,Topic 146,Topic 147,Topic 148,Topic 149,Topic 150,Topic 151,Topic 152,Topic 153,Topic 154,Topic 155,Topic 156,Topic 157,Topic 158,Topic 159,Topic 160,Topic 161,Topic 162,Topic 163,Topic 164,Topic 165,Topic 166,Topic 167
0,GTEX-WEY5-1926-SM-3GIL8,0.0198537095089,0.00104493207941,0.0344827586207,0.0,0.00208986415883,0.0,0.0,0.0,0.0,0.0,0.0104493207941,0.0564263322884,0.00626959247649,0.00522466039707,0.0,0.0522466039707,0.0,0.0909090909091,0.0188087774295,0.0,0.0,0.0,0.0114942528736,0.00104493207941,0.00522466039707,0.0,0.0752351097179,0.0334378265413,0.0,0.0292580982236,0.0,0.0177638453501,0.0804597701149,0.0,0.0,0.0,0.0,0.0,0.00522466039707,0.00104493207941,0.0,0.0,0.0114942528736,0.0,0.0,0.0,0.00417972831766,0.0,0.0,0.0,0.00104493207941,0.0,0.0,0.0,0.0240334378265,0.00104493207941,0.0407523510972,0.0,0.0,0.0,0.0,0.0,0.0,0.00208986415883,0.0,0.00104493207941,0.00626959247649,0.0219435736677,0.0752351097179,0.0,0.0741901776385,0.00626959247649,0.0,0.00104493207941,0.0146290491118,0.00208986415883,0.00208986415883,0.00522466039707,0.00104493207941,0.0,0.00940438871473,0.0,0.0,0.0,0.0,0.0459770114943,0.0,0.0,0.0,0.0,0.00208986415883,0.0,0.0,0.00626959247649,0.0,0.0146290491118,0.00104493207941,0.0146290491118,0.00417972831766,0.0,0.0,0.00104493207941,0.0,0.0,0.00104493207941,0.0,0.0,0.0,0.0,0.0,0.00208986415883,0.00104493207941,0.0,0.0,0.0,0.00940438871473,0.0,0.0,0.0,0.0,0.0,0.0,0.00208986415883,0.0,0.0,0.00417972831766,0.0,0.0,0.0,0.00104493207941,0.0,0.00104493207941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00522466039707,0.00104493207941,0.00104493207941,0.0,0.0,0.00208986415883,0.0,0.0104493207941,0.0,0.0,0.0,0.0,0.00208986415883,0.0,0.0,0.0,0.0,0.00104493207941,0.0,0.00104493207941,0.0,0.0,0.0,0.00104493207941,0.0,0.0,0.0
1,GTEX-1HB9E-0526-SM-ARZNM,0.016607951686,0.000503271263211,0.0206341217916,0.0,0.00150981378963,0.000503271263211,0.0,0.0,0.0,0.0,0.00251635631605,0.083543029693,0.00201308505284,0.000503271263211,0.000503271263211,0.0241570206341,0.000503271263211,0.0583794665325,0.00855561147458,0.000503271263211,0.000503271263211,0.0,0.0145948666331,0.000503271263211,0.035732259688,0.0,0.0463009562154,0.0110719677906,0.0,0.0392551585304,0.0,0.00855561147458,0.165072974333,0.0,0.0,0.0,0.0,0.000503271263211,0.00100654252642,0.00251635631605,0.00100654252642,0.0,0.0115752390539,0.00301962757927,0.000503271263211,0.00352289884248,0.00553598389532,0.0,0.0,0.0,0.00201308505284,0.00301962757927,0.00201308505284,0.0,0.0246602918973,0.00503271263211,0.0171112229492,0.0,0.0,0.0,0.0,0.000503271263211,0.0,0.0,0.0,0.00150981378963,0.016607951686,0.0362355309512,0.0493205837947,0.0,0.0603925515853,0.00201308505284,0.000503271263211,0.0,0.0161046804227,0.00100654252642,0.0,0.00301962757927,0.000503271263211,0.00754906894816,0.00855561147458,0.00150981378963,0.000503271263211,0.0,0.0,0.0231504781077,0.0,0.000503271263211,0.0,0.0,0.0045294413689,0.0,0.0,0.00352289884248,0.000503271263211,0.0900855561147,0.0,0.00654252642174,0.0,0.0,0.0,0.00301962757927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00402617010569,0.000503271263211,0.0,0.000503271263211,0.00301962757927,0.0,0.00352289884248,0.0,0.000503271263211,0.00100654252642,0.0,0.0,0.00201308505284,0.00100654252642,0.0,0.0,0.00150981378963,0.0,0.0,0.000503271263211,0.000503271263211,0.0,0.000503271263211,0.0,0.0,0.0,0.0,0.000503271263211,0.00402617010569,0.0,0.0,0.00301962757927,0.000503271263211,0.0,0.0,0.000503271263211,0.00100654252642,0.0,0.00251635631605,0.0,0.0,0.0,0.0,0.000503271263211,0.000503271263211,0.0,0.0,0.0,0.000503271263211,0.000503271263211,0.000503271263211,0.0,0.0,0.0,0.000503271263211,0.00201308505284,0.000503271263211,0.0
2,GTEX-1POEN-1626-SM-EVYC2,0.011673151751,0.0,0.0214007782101,0.0,0.00194552529183,0.0,0.0,0.0,0.0,0.000972762645914,0.00778210116732,0.0729571984436,0.00778210116732,0.0,0.000972762645914,0.0476653696498,0.00291828793774,0.0758754863813,0.0175097276265,0.000972762645914,0.000972762645914,0.0,0.00972762645914,0.0,0.00194552529183,0.0,0.0719844357977,0.0272373540856,0.000972762645914,0.0379377431907,0.0,0.0107003891051,0.0924124513619,0.0,0.0,0.0,0.0,0.0,0.00486381322957,0.00389105058366,0.0,0.0,0.0126459143969,0.00194552529183,0.0,0.000972762645914,0.0068093385214,0.0,0.0,0.0,0.00291828793774,0.00389105058366,0.0,0.0,0.0126459143969,0.00194552529183,0.0262645914397,0.0,0.0,0.000972762645914,0.000972762645914,0.0,0.0,0.0,0.0,0.0,0.0155642023346,0.0282101167315,0.0875486381323,0.0,0.0573929961089,0.00875486381323,0.000972762645914,0.0,0.0272373540856,0.000972762645914,0.0,0.00389105058366,0.000972762645914,0.00972762645914,0.0145914396887,0.0,0.0,0.0,0.0,0.0496108949416,0.000972762645914,0.0,0.0,0.0,0.00194552529183,0.0,0.0,0.00194552529183,0.000972762645914,0.0184824902724,0.0,0.0175097276265,0.0,0.0,0.0,0.00194552529183,0.0,0.0,0.0,0.00194552529183,0.0,0.0,0.0,0.000972762645914,0.0,0.0,0.0,0.000972762645914,0.0,0.000972762645914,0.0,0.000972762645914,0.0,0.0,0.0,0.0,0.00194552529183,0.0,0.00194552529183,0.00291828793774,0.0,0.000972762645914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000972762645914,0.00291828793774,0.0,0.0,0.00194552529183,0.0,0.0,0.0,0.000972762645914,0.00194552529183,0.0,0.0165369649805,0.000972762645914,0.000972762645914,0.0,0.0,0.00194552529183,0.0,0.0,0.0,0.0,0.000972762645914,0.0,0.0,0.0,0.0,0.0,0.000972762645914,0.0,0.0,0.000972762645914
3,GTEX-1EKGG-1426-SM-7PBY2,0.0146118721461,0.0,0.0292237442922,0.0,0.00182648401826,0.000913242009132,0.000913242009132,0.000913242009132,0.0,0.0,0.00821917808219,0.0785388127854,0.0100456621005,0.000913242009132,0.00182648401826,0.0465753424658,0.0,0.0885844748858,0.0164383561644,0.00182648401826,0.0,0.000913242009132,0.00639269406393,0.0,0.0,0.0,0.0730593607306,0.0310502283105,0.0,0.0310502283105,0.000913242009132,0.013698630137,0.0392694063927,0.0,0.0,0.000913242009132,0.0,0.0,0.000913242009132,0.00365296803653,0.00182648401826,0.0,0.0191780821918,0.000913242009132,0.0,0.0,0.00821917808219,0.0,0.0,0.0,0.00365296803653,0.00639269406393,0.0,0.0,0.0164383561644,0.00821917808219,0.0328767123288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0155251141553,0.0337899543379,0.0812785388128,0.0,0.0666666666667,0.00365296803653,0.0,0.0,0.0264840182648,0.00182648401826,0.0,0.00639269406393,0.0027397260274,0.0127853881279,0.0118721461187,0.0,0.0,0.0,0.0,0.0465753424658,0.0,0.0,0.0,0.0,0.00730593607306,0.000913242009132,0.0,0.00456621004566,0.0027397260274,0.0,0.0,0.0164383561644,0.0,0.0,0.0,0.00182648401826,0.000913242009132,0.0,0.0,0.00182648401826,0.0,0.0,0.000913242009132,0.00182648401826,0.00182648401826,0.0,0.0,0.00639269406393,0.0,0.00639269406393,0.000913242009132,0.0,0.0,0.0,0.0,0.00182648401826,0.00182648401826,0.0,0.0,0.00182648401826,0.0,0.0,0.0,0.0,0.0,0.000913242009132,0.0,0.0,0.0,0.0,0.00182648401826,0.00730593607306,0.0,0.0,0.000913242009132,0.000913242009132,0.0,0.0,0.0,0.00182648401826,0.0,0.00821917808219,0.0,0.000913242009132,0.0,0.0,0.0,0.0,0.000913242009132,0.0,0.0,0.0,0.0,0.000913242009132,0.000913242009132,0.0,0.0,0.00182648401826,0.000913242009132,0.0,0.000913242009132
4,GTEX-1E2YA-0226-SM-9MQLY,0.0246031746032,0.00238095238095,0.0293650793651,0.0,0.0015873015873,0.0,0.0,0.0,0.0,0.0,0.00396825396825,0.0777777777778,0.00793650793651,0.00396825396825,0.0,0.0380952380952,0.000793650793651,0.0761904761905,0.0150793650794,0.0,0.0,0.0,0.0198412698413,0.0,0.0103174603175,0.0,0.0650793650794,0.0198412698413,0.0,0.0420634920635,0.000793650793651,0.0111111111111,0.100793650794,0.0,0.0,0.0,0.0,0.0,0.0015873015873,0.0015873015873,0.0,0.0,0.00634920634921,0.000793650793651,0.000793650793651,0.000793650793651,0.00396825396825,0.0,0.0,0.0,0.000793650793651,0.0,0.0,0.0,0.0309523809524,0.0,0.0309523809524,0.0,0.000793650793651,0.0,0.000793650793651,0.0,0.0,0.000793650793651,0.0,0.0,0.0119047619048,0.0428571428571,0.0626984126984,0.0,0.0785714285714,0.00873015873016,0.0,0.0015873015873,0.0166666666667,0.0,0.000793650793651,0.00555555555556,0.0,0.000793650793651,0.00634920634921,0.0,0.0,0.0,0.0,0.0365079365079,0.0,0.0,0.0,0.0,0.0015873015873,0.0,0.0,0.00634920634921,0.0,0.0253968253968,0.0,0.00952380952381,0.000793650793651,0.0,0.0,0.0047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00555555555556,0.0,0.000793650793651,0.0,0.000793650793651,0.0,0.00714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0015873015873,0.0,0.0015873015873,0.00238095238095,0.0,0.0,0.0,0.00238095238095,0.0,0.000793650793651,0.0,0.0,0.0,0.0,0.0015873015873,0.0,0.0,0.000793650793651,0.0031746031746,0.0015873015873,0.0,0.0,0.0,0.0015873015873,0.0,0.00793650793651,0.0,0.0,0.0,0.0,0.00238095238095,0.000793650793651,0.0,0.0,0.0,0.000793650793651,0.0,0.0,0.0,0.000793650793651,0.0,0.000793650793651,0.000793650793651,0.0,0.0
5,GTEX-1AYCT-2226-SM-7SB98,0.0226104830421,0.00102774922919,0.0318602261048,0.0,0.00102774922919,0.0,0.00102774922919,0.0,0.0,0.0,0.0184994861254,0.0781089414183,0.00205549845838,0.00205549845838,0.0,0.0462487153135,0.00205549845838,0.0842754367934,0.0123329907503,0.00205549845838,0.0,0.0,0.00924974306269,0.0,0.0,0.0,0.0781089414183,0.0133607399794,0.00205549845838,0.0318602261048,0.00102774922919,0.0256937307297,0.0205549845838,0.0,0.0,0.0,0.0,0.00102774922919,0.00411099691675,0.00102774922919,0.00102774922919,0.0,0.0205549845838,0.0,0.00411099691675,0.0,0.00411099691675,0.0,0.0,0.0,0.0,0.00308324768756,0.00513874614594,0.0,0.0256937307297,0.0,0.0534429599178,0.0,0.0,0.0,0.0,0.0,0.0,0.00205549845838,0.0,0.0,0.0082219938335,0.0287769784173,0.0842754367934,0.0,0.0781089414183,0.00719424460432,0.0,0.0,0.0246659815005,0.00513874614594,0.0,0.00513874614594,0.0,0.00102774922919,0.0174717368962,0.0,0.0,0.0,0.0,0.0411099691675,0.0,0.0,0.0,0.00102774922919,0.0,0.0,0.0,0.00411099691675,0.0,0.0,0.0,0.0226104830421,0.00205549845838,0.00102774922919,0.0,0.00205549845838,0.0,0.00102774922919,0.0,0.0,0.00513874614594,0.0,0.0,0.00205549845838,0.00102774922919,0.0,0.0,0.0,0.0,0.00205549845838,0.0,0.00411099691675,0.0,0.0,0.0,0.0,0.00102774922919,0.0,0.0,0.00616649537513,0.0,0.0,0.00308324768756,0.00102774922919,0.00102774922919,0.0,0.0,0.0,0.0,0.0,0.00513874614594,0.0,0.0,0.0,0.00616649537513,0.0,0.0,0.0,0.0,0.00102774922919,0.0,0.00616649537513,0.00102774922919,0.0,0.0,0.00102774922919,0.00102774922919,0.0,0.0,0.0,0.0,0.00102774922919,0.0,0.0,0.0,0.00102774922919,0.00102774922919,0.00102774922919,0.0,0.0,0.0
6,GTEX-14E1K-2126-SM-793DU,0.0198329853862,0.0,0.0302713987474,0.00104384133612,0.00208768267223,0.0,0.00104384133612,0.0,0.0,0.0,0.0167014613779,0.0688935281837,0.00521920668058,0.00313152400835,0.0,0.0501043841336,0.0,0.112734864301,0.017745302714,0.0,0.0,0.0,0.0146137787056,0.0,0.00417536534447,0.0,0.0835073068894,0.0167014613779,0.0,0.035490605428,0.00313152400835,0.0302713987474,0.035490605428,0.0,0.0,0.0,0.0,0.0,0.00104384133612,0.00104384133612,0.00104384133612,0.0,0.0135699373695,0.00208768267223,0.00104384133612,0.0,0.0104384133612,0.0,0.0,0.0,0.0,0.0,0.00208768267223,0.0,0.0229645093946,0.0,0.0490605427975,0.0,0.0,0.0,0.00104384133612,0.0,0.0,0.00104384133612,0.0,0.0,0.0062630480167,0.0187891440501,0.0835073068894,0.0,0.0866388308977,0.00104384133612,0.0,0.0,0.0260960334029,0.00208768267223,0.0,0.00313152400835,0.0,0.00104384133612,0.00939457202505,0.0,0.0,0.0,0.00104384133612,0.0344467640919,0.0,0.0,0.00104384133612,0.00208768267223,0.0,0.0,0.0,0.00730688935282,0.0,0.00208768267223,0.0,0.0240083507307,0.0,0.0,0.00104384133612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00208768267223,0.0,0.0,0.00208768267223,0.0,0.00835073068894,0.0,0.00104384133612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00313152400835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00417536534447,0.0,0.0,0.0,0.00208768267223,0.0,0.00104384133612,0.0,0.0,0.0,0.0,0.00208768267223,0.0,0.0,0.0,0.00104384133612,0.00104384133612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00104384133612,0.0,0.0,0.00104384133612,0.0,0.0
7,GTEX-RWSA-0226-SM-2XCBA,0.0258751902588,0.0,0.0327245053272,0.00076103500761,0.00228310502283,0.0,0.0,0.0,0.0,0.0,0.0076103500761,0.0806697108067,0.00837138508371,0.00989345509893,0.0,0.0380517503805,0.00456621004566,0.0791476407915,0.0129375951294,0.00304414003044,0.0,0.0,0.0167427701674,0.0,0.0,0.0,0.0662100456621,0.0152207001522,0.00152207001522,0.0342465753425,0.00228310502283,0.0159817351598,0.0456621004566,0.0,0.00076103500761,0.0,0.0,0.00228310502283,0.00152207001522,0.0,0.00076103500761,0.0,0.013698630137,0.00380517503805,0.0,0.00152207001522,0.00913242009132,0.0,0.0,0.0,0.00076103500761,0.00076103500761,0.0,0.0,0.0327245053272,0.00304414003044,0.0365296803653,0.0,0.0,0.0,0.00076103500761,0.0,0.0,0.00380517503805,0.00152207001522,0.0,0.0228310502283,0.0380517503805,0.0654490106545,0.0,0.0745814307458,0.0106544901065,0.00076103500761,0.0,0.0251141552511,0.00228310502283,0.00076103500761,0.00608828006088,0.00152207001522,0.0,0.0106544901065,0.0,0.0,0.0,0.0,0.0395738203957,0.0,0.0,0.0,0.0,0.00228310502283,0.0,0.0,0.00304414003044,0.0,0.00532724505327,0.0,0.0159817351598,0.00076103500761,0.0,0.0,0.00228310502283,0.0,0.0,0.00076103500761,0.0,0.0,0.0,0.0,0.00380517503805,0.00076103500761,0.00152207001522,0.00076103500761,0.00076103500761,0.0,0.00913242009132,0.0,0.0,0.00076103500761,0.0,0.0,0.0,0.00228310502283,0.0,0.00304414003044,0.00380517503805,0.0,0.0,0.0,0.00152207001522,0.0,0.00076103500761,0.0,0.0,0.0,0.00152207001522,0.00076103500761,0.00152207001522,0.0,0.00076103500761,0.00532724505327,0.0,0.0,0.0,0.0,0.00152207001522,0.0,0.00684931506849,0.00076103500761,0.0,0.0,0.0,0.00152207001522,0.0,0.0,0.0,0.0,0.0,0.00076103500761,0.00076103500761,0.0,0.00152207001522,0.0,0.00076103500761,0.00076103500761,0.0,0.0
8,GTEX-13O21-1526-SM-5K7W4,0.0259499536608,0.0,0.0342910101946,0.0,0.00185356811863,0.0,0.0,0.0,0.0,0.0,0.00834105653383,0.0750695088044,0.00370713623726,0.00463392029657,0.0,0.0454124189064,0.0,0.079703429101,0.014828544949,0.0,0.0,0.0,0.0166821130677,0.0,0.00185356811863,0.0,0.0769230769231,0.0231696014829,0.0,0.0361445783133,0.0,0.0194624652456,0.0481927710843,0.0,0.0,0.0,0.0,0.0,0.00278035217794,0.0,0.000926784059314,0.0,0.0111214087118,0.00185356811863,0.000926784059314,0.0,0.0064874884152,0.0,0.0,0.0,0.0,0.000926784059314,0.0,0.0,0.0333642261353,0.0,0.0417052826691,0.0,0.000926784059314,0.0,0.00185356811863,0.0,0.0,0.0,0.0,0.000926784059314,0.0129749768304,0.0305838739574,0.0732159406858,0.0,0.0917516218721,0.0064874884152,0.0,0.000926784059314,0.0166821130677,0.00370713623726,0.000926784059314,0.0064874884152,0.000926784059314,0.0,0.0101946246525,0.000926784059314,0.0,0.0,0.0,0.0417052826691,0.0,0.0,0.0,0.000926784059314,0.000926784059314,0.0,0.0,0.0101946246525,0.0,0.00185356811863,0.0,0.017608897127,0.000926784059314,0.0,0.000926784059314,0.000926784059314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00556070435589,0.000926784059314,0.00185356811863,0.0,0.0,0.0,0.00741427247451,0.0,0.00278035217794,0.0,0.0,0.0,0.0,0.000926784059314,0.0,0.0,0.00463392029657,0.0,0.0,0.0,0.00185356811863,0.0,0.0,0.0,0.0,0.0,0.0,0.00185356811863,0.0,0.0,0.000926784059314,0.00556070435589,0.0,0.000926784059314,0.0,0.0,0.00185356811863,0.0,0.00556070435589,0.000926784059314,0.0,0.0,0.0,0.00278035217794,0.0,0.0,0.0,0.0,0.0,0.0,0.000926784059314,0.0,0.0,0.0,0.000926784059314,0.0,0.0,0.0
9,GTEX-111FC-0226-SM-5N9B8,0.01998001998,0.0,0.02997002997,0.000999000999001,0.000999000999001,0.0,0.000999000999001,0.0,0.0,0.0,0.012987012987,0.0739260739261,0.012987012987,0.004995004995,0.0,0.034965034965,0.000999000999001,0.0959040959041,0.00899100899101,0.0,0.0,0.0,0.00699300699301,0.0,0.002997002997,0.0,0.0829170829171,0.00899100899101,0.000999000999001,0.034965034965,0.001998001998,0.014985014985,0.0759240759241,0.0,0.0,0.0,0.0,0.000999000999001,0.000999000999001,0.000999000999001,0.001998001998,0.0,0.014985014985,0.001998001998,0.0,0.0,0.010989010989,0.0,0.0,0.0,0.0,0.000999000999001,0.0,0.0,0.026973026973,0.002997002997,0.0519480519481,0.0,0.002997002997,0.0,0.000999000999001,0.0,0.0,0.001998001998,0.0,0.0,0.003996003996,0.01998001998,0.0699300699301,0.0,0.0839160839161,0.00999000999001,0.0,0.0,0.018981018981,0.001998001998,0.0,0.00699300699301,0.0,0.000999000999001,0.010989010989,0.0,0.0,0.0,0.0,0.03996003996,0.0,0.0,0.000999000999001,0.000999000999001,0.001998001998,0.0,0.0,0.00599400599401,0.0,0.013986013986,0.0,0.020979020979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000999000999001,0.0,0.0,0.0,0.001998001998,0.000999000999001,0.0,0.0,0.0,0.0,0.00799200799201,0.0,0.000999000999001,0.0,0.0,0.0,0.0,0.0,0.0,0.000999000999001,0.004995004995,0.0,0.0,0.000999000999001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000999000999001,0.0,0.0,0.003996003996,0.0,0.0,0.0,0.0,0.001998001998,0.0,0.00599400599401,0.0,0.0,0.0,0.0,0.000999000999001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001998001998,0.0,0.0,0.0
10,GTEX-14A5H-0526-SM-5TDCN,0.0144648023144,0.00144648023144,0.0202507232401,0.000482160077146,0.000482160077146,0.000964320154291,0.00144648023144,0.00626808100289,0.00241080038573,0.000482160077146,0.00675024108004,0.0583413693346,0.00337512054002,0.000482160077146,0.0,0.0260366441659,0.0245901639344,0.133558341369,0.0125361620058,0.00144648023144,0.00675024108004,0.000964320154291,0.0053037608486,0.00289296046287,0.0,0.000482160077146,0.0655737704918,0.0139826422372,0.00241080038573,0.0279652844744,0.00337512054002,0.016393442623,0.026518804243,0.000482160077146,0.00192864030858,0.00192864030858,0.0,0.00192864030858,0.00289296046287,0.00385728061716,0.000964320154291,0.0,0.0216972034716,0.000964320154291,0.0053037608486,0.0,0.0053037608486,0.0,0.0,0.0,0.000482160077146,0.00819672131148,0.00144648023144,0.0,0.0183220829315,0.0053037608486,0.0226615236258,0.0,0.000482160077146,0.00144648023144,0.000964320154291,0.000964320154291,0.0,0.000482160077146,0.000964320154291,0.00241080038573,0.00916104146577,0.026518804243,0.0621986499518,0.000964320154291,0.0438765670203,0.0110896817743,0.000964320154291,0.0,0.0506268081003,0.00771456123433,0.00289296046287,0.00192864030858,0.00723240115718,0.00723240115718,0.0120540019286,0.0,0.00144648023144,0.000964320154291,0.00144648023144,0.0270009643202,0.000482160077146,0.000482160077146,0.00144648023144,0.0,0.000964320154291,0.000482160077146,0.0,0.00867888138862,0.00385728061716,0.00337512054002,0.000482160077146,0.0110896817743,0.000482160077146,0.000482160077146,0.00144648023144,0.00192864030858,0.0,0.0,0.00289296046287,0.0,0.0,0.00241080038573,0.0,0.00144648023144,0.0183220829315,0.000482160077146,0.000482160077146,0.00337512054002,0.0,0.00482160077146,0.0,0.00289296046287,0.000482160077146,0.000482160077146,0.0,0.0,0.000964320154291,0.0,0.000482160077146,0.00675024108004,0.000482160077146,0.000482160077146,0.000482160077146,0.00289296046287,0.000964320154291,0.000482160077146,0.0,0.00192864030858,0.0,0.000964320154291,0.00241080038573,0.000964320154291,0.000964320154291,0.0,0.00337512054002,0.0,0.0,0.0,0.000964320154291,0.000482160077146,0.000482160077146,0.00482160077146,0.00289296046287,0.0,0.0,0.000964320154291,0.00385728061716,0.0,0.000964320154291,0.0,0.0,0.000482160077146,0.0,0.000482160077146,0.000964320154291,0.00241080038573,0.0,0.000964320154291,0.000964320154291,0.000964320154291,0.00385728061716
11,GTEX-16BQI-0526-SM-6PAM8,0.0177514792899,0.0,0.030325443787,0.0,0.00147928994083,0.0,0.0,0.0,0.0,0.0,0.00295857988166,0.0784023668639,0.00369822485207,0.00221893491124,0.0,0.039201183432,0.0,0.0665680473373,0.012573964497,0.0,0.0,0.0,0.0110946745562,0.0,0.0162721893491,0.0,0.0576923076923,0.0229289940828,0.0,0.0458579881657,0.000739644970414,0.00887573964497,0.154585798817,0.0,0.0,0.0,0.0,0.0,0.00221893491124,0.00147928994083,0.000739644970414,0.0,0.00739644970414,0.00147928994083,0.0,0.00221893491124,0.00739644970414,0.0,0.0,0.0,0.00147928994083,0.00147928994083,0.0,0.0,0.0258875739645,0.000739644970414,0.030325443787,0.0,0.0,0.0,0.000739644970414,0.0,0.0,0.0,0.0,0.0,0.00961538461538,0.0229289940828,0.0539940828402,0.0,0.0739644970414,0.00739644970414,0.000739644970414,0.00147928994083,0.0133136094675,0.000739644970414,0.000739644970414,0.00147928994083,0.000739644970414,0.000739644970414,0.0051775147929,0.000739644970414,0.0,0.0,0.0,0.0325443786982,0.0,0.0,0.0,0.0,0.000739644970414,0.0,0.0,0.0051775147929,0.0,0.0591715976331,0.0,0.00961538461538,0.000739644970414,0.0,0.0,0.00221893491124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00221893491124,0.0,0.000739644970414,0.0,0.000739644970414,0.0,0.00665680473373,0.0,0.0,0.0,0.0,0.0,0.0,0.00147928994083,0.0,0.000739644970414,0.00221893491124,0.0,0.0,0.0,0.0051775147929,0.0,0.0,0.0,0.0,0.0,0.0,0.00147928994083,0.0,0.0,0.0,0.00295857988166,0.0,0.0,0.0,0.0,0.00147928994083,0.0,0.00665680473373,0.0,0.0,0.0,0.000739644970414,0.00221893491124,0.0,0.0,0.0,0.0,0.000739644970414,0.0,0.00147928994083,0.0,0.0,0.000739644970414,0.000739644970414,0.0,0.0,0.0
12,GTEX-1QW4Y-0826-SM-DTXE1,0.0160183066362,0.0,0.0228832951945,0.0,0.00228832951945,0.0,0.000762776506484,0.0,0.0,0.000762776506484,0.00610221205187,0.0724637681159,0.00686498855835,0.00152555301297,0.000762776506484,0.0434782608696,0.0,0.0701754385965,0.0144927536232,0.0,0.0,0.0,0.0106788710908,0.0,0.00610221205187,0.0,0.0633104500381,0.0259344012204,0.000762776506484,0.0389016018307,0.0,0.0114416475973,0.122807017544,0.0,0.0,0.0,0.0,0.0,0.00152555301297,0.00305110602593,0.000762776506484,0.0,0.0114416475973,0.0,0.0,0.000762776506484,0.00228832951945,0.0,0.0,0.0,0.00152555301297,0.00533943554539,0.0,0.0,0.0183066361556,0.00610221205187,0.0259344012204,0.0,0.000762776506484,0.0,0.000762776506484,0.00152555301297,0.0,0.0,0.0,0.000762776506484,0.00991609458429,0.0320366132723,0.0717009916095,0.0,0.0610221205187,0.00381388253242,0.0,0.0,0.023646071701,0.00152555301297,0.0,0.00381388253242,0.00228832951945,0.00991609458429,0.0114416475973,0.0,0.0,0.0,0.0,0.0350877192982,0.000762776506484,0.0,0.0,0.0,0.00610221205187,0.0,0.0,0.0045766590389,0.00152555301297,0.0366132723112,0.0,0.0144927536232,0.0,0.0,0.0,0.00152555301297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000762776506484,0.00152555301297,0.0,0.0,0.00610221205187,0.0,0.00991609458429,0.0,0.000762776506484,0.0,0.0,0.0,0.00228832951945,0.00152555301297,0.0,0.0,0.00152555301297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000762776506484,0.00228832951945,0.00533943554539,0.0,0.0,0.00228832951945,0.000762776506484,0.0,0.0,0.0,0.00152555301297,0.000762776506484,0.00686498855835,0.0,0.0,0.0,0.0,0.000762776506484,0.0,0.0,0.0,0.0,0.00152555301297,0.0,0.000762776506484,0.0,0.0,0.0,0.000762776506484,0.0,0.0,0.0
